start_date,total_sessions,total_duration_minutes,avg_duration_minutes,completed_sessions,material_types,total_jobs,success_rate,utilization_hours
2024-02-20,7,674.25,96.32,7,1,7,100.0,11.2
2024-02-21,7,35.53,5.08,7,1,6,100.0,0.6
2024-02-22,6,69.85,11.64,6,1,1,100.0,1.2
2024-02-23,3,14.2,4.73,3,1,3,100.0,0.2
2024-02-24,2,63.73,31.87,2,1,8,100.0,1.1
2024-02-26,2,11.12,5.56,2,1,1,100.0,0.2
2024-02-27,5,21.62,4.32,5,1,0,100.0,0.4
2024-02-28,3,33.77,11.26,3,1,1,100.0,0.6
2024-02-29,12,67.55,5.63,12,1,12,100.0,1.1
2024-03-01,10,130.02,13.0,10,1,0,100.0,2.2
2024-03-02,4,21.22,5.3,4,1,4,100.0,0.4
2024-03-04,6,35.98,6.0,6,1,5,100.0,0.6
2024-03-06,13,147.85,11.37,13,1,11,100.0,2.5
2024-03-07,4,635.03,158.76,4,1,0,100.0,10.6
2024-03-08,1,4.7,4.7,1,1,0,100.0,0.1
2024-03-09,1,7.22,7.22,1,1,1,100.0,0.1
2024-03-11,2,9.88,4.94,2,1,2,100.0,0.2
2024-03-13,2,43.45,21.72,2,1,1,100.0,0.7
2024-03-14,2,10.27,5.13,2,1,2,100.0,0.2
2024-03-16,1,4.45,4.45,1,1,1,100.0,0.1
2024-03-18,3,14.35,4.78,3,1,3,100.0,0.2
2024-03-21,5,26.35,5.27,5,1,5,100.0,0.4
2024-03-22,2,15.27,7.63,2,1,2,100.0,0.3
2024-03-23,1,4.75,4.75,1,1,1,100.0,0.1
2024-03-25,6,60.38,10.06,6,1,5,100.0,1.0
2024-03-26,3,16.53,5.51,3,1,3,100.0,0.3
2024-03-27,3,24.45,8.15,3,1,4,100.0,0.4
2024-03-28,3,105.47,35.16,3,1,8,100.0,1.8
2024-03-30,4,21.17,5.29,4,1,4,100.0,0.4
2024-04-02,5,56.25,11.25,5,1,5,100.0,0.9
2024-04-03,2,10.8,5.4,2,1,2,100.0,0.2
2024-04-04,1,5.37,5.37,1,1,1,100.0,0.1
2024-04-06,2,46.88,23.44,2,1,7,100.0,0.8
2024-04-08,5,41.82,8.36,5,1,5,100.0,0.7
2024-04-10,2,45.6,22.8,2,1,2,100.0,0.8
2024-04-11,4,26.22,6.55,4,1,4,100.0,0.4
2024-04-13,1,4.5,4.5,1,1,1,100.0,0.1
2024-04-15,3,14.78,4.93,3,1,3,100.0,0.2
2024-04-16,4,19.07,4.77,4,1,4,100.0,0.3
2024-04-18,1,3.75,3.75,1,1,1,100.0,0.1
2024-04-19,5,177.28,35.46,5,1,15,100.0,3.0
2024-04-20,8,49.12,6.14,8,1,5,100.0,0.8
2024-04-22,2,198.62,99.31,2,1,12,100.0,3.3
2024-04-23,5,17.12,3.42,5,1,5,100.0,0.3
2024-04-24,3,9.62,3.21,3,1,3,100.0,0.2
2024-04-25,4,14.73,3.68,4,1,4,100.0,0.2
2024-04-29,5,17.48,3.5,5,1,5,100.0,0.3
2024-04-30,3,11.38,3.79,3,1,3,100.0,0.2
2024-05-01,3,12.83,4.28,3,1,2,100.0,0.2
2024-05-02,3,11.28,3.76,3,1,3,100.0,0.2
2024-05-03,4,13.73,3.43,4,1,2,100.0,0.2
2024-05-04,1,3.77,3.77,1,1,1,100.0,0.1
2024-05-07,3,9.53,3.18,3,1,3,100.0,0.2
2024-05-08,6,28.12,4.69,6,1,6,100.0,0.5
2024-05-11,6,24.52,4.09,6,1,6,100.0,0.4
2024-05-13,3,11.98,3.99,3,1,3,100.0,0.2
2024-05-14,2,7.33,3.67,2,1,2,100.0,0.1
2024-05-15,4,16.58,4.15,4,1,4,100.0,0.3
2024-05-16,3,77.15,25.72,3,1,8,100.0,1.3
2024-05-17,5,71.0,14.2,5,1,5,100.0,1.2
2024-05-20,2,177.03,88.52,2,1,11,100.0,3.0
2024-05-21,4,14.48,3.62,4,1,4,100.0,0.2
2024-05-22,3,9.85,3.28,3,1,3,100.0,0.2
2024-05-23,4,13.63,3.41,4,1,4,100.0,0.2
2024-05-24,3,26.37,8.79,3,1,5,100.0,0.4
2024-05-27,5,17.92,3.58,5,1,1,100.0,0.3
2024-05-28,2,6.53,3.27,2,1,0,100.0,0.1
2024-05-29,6,32.73,5.46,6,1,6,100.0,0.5
2024-05-30,3,55.17,18.39,3,1,5,100.0,0.9
2024-05-31,8,36.15,4.52,8,1,8,100.0,0.6
2024-06-01,5,17.1,3.42,5,1,5,100.0,0.3
2024-06-03,2,7.33,3.67,2,1,2,100.0,0.1
2024-06-04,5,20.1,4.02,5,1,4,100.0,0.3
2024-06-05,2,7.37,3.68,2,1,2,100.0,0.1
2024-06-06,4,11.2,2.8,4,1,3,100.0,0.2
2024-06-08,3,10.25,3.42,3,1,3,100.0,0.2
2024-06-10,10,35.52,3.55,10,1,10,100.0,0.6
2024-06-11,6,20.6,3.43,6,1,6,100.0,0.3
2024-06-13,8,31.47,3.93,8,1,2,100.0,0.5
2024-06-15,3,11.33,3.78,3,1,3,100.0,0.2
2024-06-17,6,21.48,3.58,6,1,6,100.0,0.4
2024-06-18,3,10.67,3.56,3,1,3,100.0,0.2
2024-06-19,1,3.52,3.52,1,1,1,100.0,0.1
2024-06-20,4,19.48,4.87,4,1,3,100.0,0.3
2024-06-21,2,23.92,11.96,2,1,2,100.0,0.4
2024-06-22,1,3.53,3.53,1,1,1,100.0,0.1
2024-06-24,3,10.68,3.56,3,1,3,100.0,0.2
2024-06-25,13,66.95,5.15,13,1,12,100.0,1.1
2024-06-26,7,25.78,3.68,7,1,5,100.0,0.4
2024-06-27,2,8.45,4.22,2,1,2,100.0,0.1
2024-06-28,1,4.88,4.88,1,1,1,100.0,0.1
2024-07-01,2,7.43,3.72,2,1,2,100.0,0.1
2024-07-02,4,13.1,3.28,4,1,4,100.0,0.2
2024-07-04,6,24.75,4.12,6,1,6,100.0,0.4
2024-07-05,5,19.33,3.87,5,1,5,100.0,0.3
2024-07-06,2,52.02,26.01,2,1,7,100.0,0.9
2024-07-08,2,7.32,3.66,2,1,2,100.0,0.1
2024-07-09,2,8.37,4.18,2,1,2,100.0,0.1
2024-07-10,7,133.72,19.1,7,1,12,100.0,2.2
2024-07-11,5,21.15,4.23,5,1,5,100.0,0.4
2024-07-12,8,30.45,3.81,8,1,8,100.0,0.5
2024-07-13,1,3.38,3.38,1,1,1,100.0,0.1
2024-07-15,8,28.93,3.62,8,1,8,100.0,0.5
2024-07-16,7,23.88,3.41,7,1,7,100.0,0.4
2024-07-17,2,8.5,4.25,2,1,2,100.0,0.1
